"slug","land","name"
"Dobra","WI","Dobra"
"Dobra_ZA","ZA","Dobra"
"Dobre_Miasto","WM","Dobre Miasto"
"Dobrzany","ZA","Dobrzany"
"Dobrzyca","WI","Dobrzyca"
"Dobrzyn nad Wisla","KP","Dobrzyń nad Wisłą"
"Dolsk","WI","Dolsk"
"Drawno","ZA","Drawno"
"Drawsko Pomorskie","ZA","Drawsko_Pomorskie"
"Drezdenko","LUBU","Drezdenko"
"Drobin","MA","Drobin"
"Drohiczyn","PODL","Drohiczyn"
"Drzewica","LD","Drzewica"
"Dukla","PODK","Dukla"
"Duszniki-Zdroj","DS","Duszniki-Zdrój"
"Dynow","PODK","Dynów"
"Dzialdowo","WM","Działdowo"
"Dzialoszyn","LD","Działoszyn"
"Dzierzgon","POM","Dzierzgoń"
"Dzierzoniow","DS","Dzierżoniów"
"Dziwnów","ZA","Dziwnow"
"Elblag","WM","Elbląg"
"Elk","WM","Ełk"
"Frampol","LUBE","Frampol"
"Frombork","WM","Frombork"
"Gabin","MA","Gąbin"
"Garwolin","MA","Garwolin"
"Gdansk","POM","Gdańsk"
"Gdynia","POM","Gdynia"
"Gizycko","WM","Giżycko"
"Glinojeck","MA","Glinojeck"
"Gliwice","POM","Gliwice"
"Glogow","DS","Głogów"
"Glogow Malopolski","PODK","Głogów Małopolski"
"Glowno","LD","Głowno"
"Gluszyca","DS","Głuszyca"
"Gniew","POM","Gniew"
"Gniewkowo","KP","Gniewkowo"
"Gniezno","WI","Gniezno"
"Golczewo","ZA","Golczewo"
"Goldap","WM","Gołdap"
"Goleniów","ZA","Goleniow"
"Golina","WI","Golina"
"Golub-Dobrzyn","KP","Golub-Dobrzyń"
"Goniadz","PODL","Goniądz"
"Gora","DS","Góra"
"Gora_Kalwaria","MA","Góra Kalwaria"
"Gorlice","MP","Gorlice"
"Gorowo_Ilaweckie","WM","Górowo Iławeckie"
"Gorzno","KP","Górzno"
"Gorzow_Wielkopolski","LUBU","Gorzów Wielkopolski"
"Gościno","ZA","Goscino"
"Gostyń","WI","Gostyn"
"Gostynin","MA","Gostynin"
"Gozdnica","LUBU","Gozdnica"
"Gołańcz","WI","Golancz"
"Grabów nad Prosną","WI","Grabow_nad_Prosna"
"Grajewo","PODL","Grajewo"
"Grodzisk Wielkopolski","WI","Grodzisk_Wielkopolski"
"Grodzisk_Mazowiecki","MA","Grodzisk Mazowiecki"
"Grojec","MA","Grójec"
"Grudziadz","KP","Grudziądz"
"Grybow","MP","Grybów"
"Gryfice","ZA","Gryfice"
"Gryfino","ZA","Gryfino"
"Gryfow_Slaski","DS","Gryfów Śląski"
"Gubin","LUBU","Gubin"
"Hajnowka","PODL","Hajnówka"
"Halinow","MA","Halinów"
"Hel","POM","Hel"
"Hrubieszow","LUBE","Hrubieszów"
"Ilawa","WM","Iława"
"Ilowa","LUBU","Iłowa"
"Ilza","MA","Iłża"
"Imielin","POM","Imielin"
"Inowroclaw","KP","Inowrocław"
"Ińsko","ZA","Insko"
"Iwonicz-Zdroj","PODK","Iwonicz-Zdrój"
"Izbica Kujawska","KP","Izbica Kujawska"
"Jablonowo Pomorskie","KP","Jabłonowo Pomorskie"
"Janikowo","KP","Janikowo"
"Janowiec Wielkopolski","KP","Janowiec Wielkopolski"
"Janow_Lubelski","LUBE","Janów Lubelski"
"Jaraczewo","WI","Jaraczewo"
"Jarocin","WI","Jarocin"
"Jaroslaw","PODK","Jarosław"
"Jasien","LUBU","Jasień"
"Jaslo","PODK","Jasło"
"Jastarnia","POM","Jastarnia"
"Jastrowie","WI","Jastrowie"
"Jastrzebie-Zdroj","POM","Jastrzębie-Zdrój"
"Jawor","DS","Jawor"
"Jaworzno","POM","Jaworzno"
"Jaworzyna_Slaska","DS","Jaworzyna Śląska"
"Jedlicze","PODK","Jedlicze"
"Jedlina-Zdroj","DS","Jedlina-Zdrój"
"Jedwabne","PODL","Jedwabne"
"Jelcz-Laskowice","DS","Jelcz-Laskowice"
"Jelenia_Gora","DS","Jelenia Góra"
"Jeziorany","WM","Jeziorany"
"Jordanow","MP","Jordanów"
"Jozefow","LUBE","Józefów"
"Jozefow_MA","MA","Józefów"
"Jozefow_nad_Wisla","LUBE","Józefów nad Wisłą"
"Jutrosin","WI","Jutrosin"
"Kalety","POM","Kalety"
"Kalisz","WI","Kalisz"
"Kalisz Pomorski","ZA","Kalisz_Pomorski"
"Kaluszyn","MA","Kałuszyn"
"Kalwaria Zebrzydowska","MP","Kalwaria Zebrzydowska"
"Kamien Krajenski","KP","Kamień Krajeński"
"Kamień Pomorski","ZA","Kamien_Pomorski"
"Kamienna_Gora","DS","Kamienna Góra"
"Kamiensk","LD","Kamieńsk"
"Kanczuga","PODK","Kańczuga"
"Karczew","MA","Karczew"
"Kargowa","LUBU","Kargowa"
"Karlino","ZA","Karlino"
"Karpacz","DS","Karpacz"
"Kartuzy","POM","Kartuzy"
"Katowice","POM","Katowice"
"Katy_Wroclawskie","DS","Kąty Wrocławskie"
"Kazimierz_Dolny","LUBE","Kazimierz Dolny"
"Kcynia","KP","Kcynia"
"Kepice","POM","Kępice"
"Kępno","WI","Kepno"
"Ketrzyn","WM","Kętrzyn"
"Kety","MP","Kęty"
"Kielce","SW","Kielce"
"Kisielice","WM","Kisielice"
"Kleczew","WI","Kleczew"
"Kleszczele","PODL","Kleszczele"
"Klobuck","POM","Kłobuck"
"Klodzko","DS","Kłodzko"
"Knurow","POM","Knurów"
"Knyszyn","PODL","Knyszyn"
"Kobylin","WI","Kobylin"
"Kobylka","MA","Kobyłka"
"Kock","LUBE","Kock"
"Kolaczyce","PODK","Kołaczyce"
"Kolbuszowa","PODK","Kolbuszowa"
"Kolno","PODL","Kolno"
"Koluszki","LD","Koluszki"
"Koniecpol","POM","Koniecpol"
"Konin","WI","Konin"
"Konskie","SW","Końskie"
"Konstancin-Jeziorna","MA","Konstancin-Jeziorna"
"Konstantynow_Lodzki","LD","Konstantynów Łódzki"
"Kórnik","WI","Kornik"
"Koronowo","KP","Koronowo"
"Korsze","WM","Korsze"
"Kościan","WI","Koscian"
"Koscierzyna","POM","Kościerzyna"
"Kosow_Lacki","MA","Kosów Lacki"
"Kostrzyn","WI","Kostrzyn"
"Kostrzyn_nad_Odra","LUBU","Kostrzyn nad Odrą"
"Koszalin","ZA","Koszalin"
"Koszyce","MP","Koszyce"
"Kowal","KP","Kowal"
"Kowalewo Pomorskie","KP","Kowalewo Pomorskie"
"Kowary","DS","Kowary"
"Kozieglowy","POM","Koziegłowy"
"Kozienice","MA","Kozienice"
"Koźmin Wielkopolski","WI","Kozmin_Wielkopolski"
"Kozuchow","LUBU","Kożuchów"
"Koło","WI","Kolo"
"Kołobrzeg","ZA","Kolobrzeg"
"Krajenka","WI","Krajenka"
"Krakow","MP","Kraków"
"Krasnik","LUBE","Kraśnik"
"Krasnobrod","LUBE","Krasnobród"
"Krasnystaw","LUBE","Krasnystaw"
"Krobia","WI","Krobia"
"Krosniewice","LD","Krośniewice"
"Krosno","PODK","Krosno"
"Krosno_Odrzanskie","LUBU","Krosno Odrzańskie"
"Krotoszyn","WI","Krotoszyn"
"Kruszwica","KP","Kruszwica"
"Krynica-Zdroj","MP","Krynica-Zdrój"
"Krynica_Morska","POM","Krynica Morska"
"Krynki","PODL","Krynki"
"Krzanowice","POM","Krzanowice"
"Krzepice","POM","Krzepice"
"Krzeszowice","MP","Krzeszowice"
"Krzywiń","WI","Krzywin"
"Krzyż Wielkopolski","WI","Krzyz_Wielkopolski"
"Książ Wielkopolski","WI","Ksiaz_Wielkopolski"
"Kudowa-Zdroj","DS","Kudowa-Zdrój"
"Kunow","SW","Kunów"
"Kutno","LD","Kutno"
"Kuznia Raciborska","POM","Kuźnia Raciborska"
"Kwidzyn","POM","Kwidzyn"
"Kłecko","WI","Klecko"
"Kłodawa","WI","Klodawa"
"Labiszyn","KP","Łabiszyn"
"Ladek-Zdroj","DS","Lądek-Zdrój"
"Lagow","SW","Łagów"
"Lancut","PODK","Łańcut"
"Lapy","PODL","Łapy"
"Lasin","KP","Łasin"
"Lask","LD","Łask"
"Laskarzew","MA","Łaskarzew"
"Laszczow","LUBE","Łaszczów"
"Laziska Gorne","POM","Łaziska Górne"
"Lazy","POM","Łazy"
"Leba","POM","Łeba"
"Lebork","POM","Lębork"
"Leczna","LUBE","Łęczna"
"Leczyca","LD","Łęczyca"
"Ledziny","POM","Lędziny"
"Legionowo","MA","Legionowo"
"Legnica","DS","Legnica"
"Leknica","LUBU","Łęknica"
"Lesko","PODK","Lesko"
"Lesna","DS","Leśna"
"Leszno","WI","Leszno"
"Lezajsk","PODK","Leżajsk"
"Libiaz","MP","Libiąż"
"Lidzbark","WM","Lidzbark"
"Lidzbark_Warminski","WM","Lidzbark Warmiński"
"Limanowa","MP","Limanowa"
"Lipiany","ZA","Lipiany"
"Lipno","KP","Lipno"
"Lipsk","PODL","Lipsk"
"Lipsko","MA","Lipsko"
"Lochow","MA","Łochów"
"Lodz","LD","Łódź"
"Lomianki","MA","Łomianki"
"Lomza","PODL","Łomża"
"Losice","MA","Łosice"
"Lowicz","LD","Łowicz"
"Lubaczow","PODK","Lubaczów"
"Luban","DS","Lubań"
"Lubartow","LUBE","Lubartów"
"Lubawa","WM","Lubawa"
"Lubawka","DS","Lubawka"
"Lubien Kujawski","KP","Lubień Kujawski"
"Lubin","DS","Lubin"
"Lublin","LUBE","Lublin"
"Lubliniec","POM","Lubliniec"
"Lubniewice","LUBU","Lubniewice"
"Lubomierz","DS","Lubomierz"
"Luboń","WI","Lubon"
"Lubowidz","MA","Lubowidz"
"Lubraniec","KP","Lubraniec"
"Lubsko","LUBU","Lubsko"
"Lubycza_Krolewska","LUBE","Lubycza Królewska"
"Lubycza_Krolewska_LUBU","LUBU","Lubycza Królewska"
"Lukow","LUBE","Łuków"
"Lwówek","WI","Lwowek"
"Lwowek_Slaski","DS","Lwówek Śląski"
"Makow Podhalanski","MP","Maków Podhalański"
"Makow_Mazowiecki","MA","Maków Mazowiecki"
"Malbork","POM","Malbork"
"Malomice","LUBU","Małomice"
"Margonin","WI","Margonin"
"Marki","MA","Marki"
"Maszewo","ZA","Maszewo"
"Miasteczko Slaskie","POM","Miasteczko Śląskie"
"Miastko","POM","Miastko"
"Michalowo","PODL","Michałowo"
"Miechow","MP","Miechów"
"Miedzyborz","DS","Międzybórz"
"Międzychód","WI","Miedzychod"
"Miedzylesie","DS","Międzylesie"
"Miedzyrzecz","LUBU","Międzyrzecz"
"Miedzyrzec_Podlaski","LUBE","Międzyrzec Podlaski"
"Międzyzdroje","ZA","Miedzyzdroje"
"Miejska Górka","WI","Miejska_Gorka"
"Mielec","PODK","Mielec"
"Mielno","ZA","Mielno"
"Mieroszow","DS","Mieroszów"
"Mieszkowice","ZA","Mieszkowice"
"Mikolajki","WM","Mikołajki"
"Mikolow","POM","Mikołów"
"Mikstat","WI","Mikstat"
"Milakowo","WM","Miłakowo"
"Milanowek","MA","Milanówek"
"Milicz","DS","Milicz"
"Milomlyn","WM","Miłomłyn"
"Minsk_Mazowiecki","MA","Mińsk Mazowiecki"
"Mirosławiec","ZA","Miroslawiec"
"Mirsk","DS","Mirsk"
"Miłosław","WI","Miloslaw"
"Mlawa","MA","Mława"
"Mlynary","WM","Młynary"
"Modliborzyce","LUBE","Modliborzyce"
"Mogielnica","MA","Mogielnica"
"Mogilno","KP","Mogilno"
"Monki","PODL","Mońki"
"Morag","WM","Morąg"
"Morawica","SW","Morawica"
"Mordy","MA","Mordy"
"Moryń","ZA","Moryn"
"Mosina","WI","Mosina"
"Mragowo","WM","Mrągowo"
"Mrocza","KP","Mrocza"
"Mrozy","MA","Mrozy"
"Mszana Dolna","MP","Mszana Dolna"
"Mszczonow","MA","Mszczonów"
"Murowana Goślina","WI","Murowana_Goslina"
"Muszyna","MP","Muszyna"
"Myslenice","MP","Myślenice"
"Myślibórz","ZA","Mysliborz"
"Myslowice","POM","Mysłowice"
"Myszkow","POM","Myszków"
"Myszyniec","MA","Myszyniec"
"Naklo nad Notecia","KP","Nakło nad Notecią"
"Naleczow","LUBE","Nałęczów"
"Narol","PODK","Narol"
"Nasielsk","MA","Nasielsk"
"Nekla","WI","Nekla"
"Nidzica","WM","Nidzica"
"Niemcza","DS","Niemcza"
"Niepolomice","MP","Niepołomice"
"Nieszawa","KP","Nieszawa"
"Nisko","PODK","Nisko"
"Nowa Deba","PODK","Nowa Dęba"
"Nowa Sarzyna","PODK","Nowa Sarzyna"
"Nowa_Ruda","DS","Nowa Ruda"
"Nowa_Sol","LUBU","Nowa Sól"
"Nowe","KP","Nowe"
"Nowe Brzesko","MP","Nowe Brzesko"
"Nowe Skalmierzyce","WI","Nowe_Skalmierzyce"
"Nowe Warpno","ZA","Nowe_Warpno"
"Nowe_Miasteczko","LUBU","Nowe Miasteczko"
"Nowe_Miasto_nad_Pilica","MA","Nowe Miasto nad Pilicą"
"Nowogard","ZA","Nowogard"
"Nowogrod","PODL","Nowogród"
"Nowogrodziec","DS","Nowogrodziec"
"Nowogrod_Bobrzanski","LUBU","Nowogród Bobrzański"
"Nowy Sacz","MP","Nowy Sącz"
"Nowy Targ","MP","Nowy Targ"
"Nowy Tomyśl","WI","Nowy_Tomysl"
"Nowy Wisnicz","MP","Nowy Wiśnicz"
"Nowy_Dwor_Gdanski","POM","Nowy Dwór Gdański"
"Nowy_Dwor_Mazowiecki","MA","Nowy Dwór Mazowiecki"
"Nowy_Staw","POM","Nowy Staw"
"Oborniki","WI","Oborniki"
"Oborniki_Slaskie","DS","Oborniki Śląskie"
"Obrzycko","WI","Obrzycko"
"Odolanów","WI","Odolanow"
"Ogrodzieniec","POM","Ogrodzieniec"
"Okonek","WI","Okonek"
"Olawa","DS","Oława"
"Olecko","WM","Olecko"
"Olesnica","DS","Oleśnica"
"Olesnica_SW","SW","Oleśnica"
"Oleszyce","PODK","Oleszyce"
"Olkusz","MP","Olkusz"
"Olsztyn","WM","Olsztyn"
"Olsztynek","WM","Olsztynek"
"Olszyna","DS","Olszyna"
"Opalenica","WI","Opalenica"
"Opatow","SW","Opatów"
"Opatówek","WI","Opatowek"
"Opoczno","LD","Opoczno"
"Opole_Lubelskie","LUBE","Opole Lubelskie"
"Orneta","WM","Orneta"
"Orzesze","POM","Orzesze"
"Orzysz","WM","Orzysz"
"Osieczna","WI","Osieczna"
"Osiek","SW","Osiek"
"Osno_Lubuskie","LUBU","Ośno Lubuskie"
"Ostroda","WM","Ostróda"
"Ostroleka","MA","Ostrołęka"
"Ostroróg","WI","Ostrorog"
"Ostrów Wielkopolski","WI","Ostrow_Wielkopolski"
"Ostrow_Lubelski","LUBE","Ostrów Lubelski"
"Ostrow_Mazowiecka","MA","Ostrów Mazowiecka"
"Ostrzeszów","WI","Ostrzeszow"
"Oswiecim","MP","Oświęcim"
"Otwock","MA","Otwock"
"Otyn","LUBU","Otyń"
"Ozarow","SW","Ożarów"
"Ozarow_Mazowiecki","MA","Ożarów Mazowiecki"
"Ozorkow","LD","Ozorków"
"Pabianice","LD","Pabianice"
"Pacanow","SW","Pacanów"
"Pajeczno","LD","Pajęczno"
"Pakosc","KP","Pakość"
"Parczew","LUBE","Parczew"
"Paslek","WM","Pasłęk"
"Pasym","WM","Pasym"
"Pelplin","POM","Pelplin"
"Pełczyce","ZA","Pelczyce"
"Piaseczno","MA","Piaseczno"
"Piaski","LUBE","Piaski"
"Piastow","MA","Piastów"
"Piechowice","DS","Piechowice"
"Piekary Slaskie","POM","Piekary Śląskie"
"Pieniezno","WM","Pieniężno"
"Piensk","DS","Pieńsk"
"Pieszyce","DS","Pieszyce"
"Pilawa","MA","Pilawa"
"Pilawa_Gorna","DS","Piława Górna"
"Pilica","POM","Pilica"
"Pilzno","PODK","Pilzno"
"Pinczow","SW","Pińczów"
"Pionki","MA","Pionki"
"Piotrkow Kujawski","KP","Piotrków Kujawski"
"Piotrkow_Trybunalski","LD","Piotrków Trybunalski"
"Pisz","WM","Pisz"
"Piwniczna-Zdroj","MP","Piwniczna-Zdrój"
"Piła","WI","Pila"
"Pleszew","WI","Pleszew"
"Plock","MA","Płock"
"Plonsk","MA","Płońsk"
"Pniewy","WI","Pniewy"
"Pobiedziska","WI","Pobiedziska"
"Poddebice","LD","Poddębice"
"Podkowa_Lesna","MA","Podkowa Leśna"
"Pogorzela","WI","Pogorzela"
"Polanica-Zdroj","DS","Polanica-Zdrój"
"Polaniec","SW","Połaniec"
"Polanów","ZA","Polanow"
"Police","ZA","Police"
"Polkowice","DS","Polkowice"
"Poniatowa","LUBE","Poniatowa"
"Poniec","WI","Poniec"
"Poreba","POM","Poręba"
"Poznań","WI","Poznan"
"Połczyn-Zdrój","ZA","Polczyn-Zdroj"
"Prabuty","POM","Prabuty"
"Prochowice","DS","Prochowice"
"Proszowice","MP","Proszowice"
"Pruchnik","PODK","Pruchnik"
"Prusice","DS","Prusice"
"Pruszcz_Gdanski","POM","Pruszcz Gdański"
"Pruszkow","MA","Pruszków"
"Przasnysz","MA","Przasnysz"
"Przeclaw","PODK","Przecław"
"Przedborz","LD","Przedbórz"
"Przedecz","WI","Przedecz"
"Przemkow","DS","Przemków"
"Przemysl","PODK","Przemyśl"
"Przeworsk","PODK","Przeworsk"
"Przysucha","MA","Przysucha"
"Pszczyna","POM","Pszczyna"
"Pszow","POM","Pszów"
"Puck","POM","Puck"
"Pulawy","LUBE","Puławy"
"Pultusk","MA","Pułtusk"
"Puszczykowo","WI","Puszczykowo"
"Pyrzyce","ZA","Pyrzyce"
"Pyskowice","POM","Pyskowice"
"Pyzdry","WI","Pyzdry"
"Płoty","ZA","Ploty"
"Rabka-Zdroj","MP","Rabka-Zdrój"
"Raciaz","MA","Raciąż"
"Raciborz","POM","Racibórz"
"Radkow","DS","Radków"
"Radlin","POM","Radlin"
"Radlow","MP","Radłów"
"Radom","MA","Radom"
"Radomsko","LD","Radomsko"
"Radomysl Wielki","PODK","Radomyśl Wielki"
"Radymno","PODK","Radymno"
"Radziejow","KP","Radziejów"
"Radzionkow","POM","Radzionków"
"Radzymin","MA","Radzymin"
"Radzyn Chelminski","KP","Radzyń Chełmiński"
"Radzyn_Podlaski","LUBE","Radzyń Podlaski"
"Rajgrod","PODL","Rajgród"
"Rakoniewice","WI","Rakoniewice"
"Raszków","WI","Raszkow"
"Rawa_Mazowiecka","LD","Rawa Mazowiecka"
"Rawicz","WI","Rawicz"
"Recz","ZA","Recz"
"Reda","POM","Reda"
"Rejowiec","LUBE","Rejowiec"
"Rejowiec_Fabryczny","LUBE","Rejowiec Fabryczny"
"Resko","ZA","Resko"
"Reszel","WM","Reszel"
"Rogoźno","WI","Rogozno"
"Ropczyce","PODK","Ropczyce"
"Rozan","MA","Różan"
"Ruciane-Nida","WM","Ruciane-Nida"
"Ruda Slaska","POM","Ruda Śląska"
"Rudnik nad Sanem","PODK","Rudnik nad Sanem"
"Rumia","POM","Rumia"
"Rybnik","POM","Rybnik"
"Rychwał","WI","Rychwal"
"Rydultowy","POM","Rydułtowy"
"Rydzyna","WI","Rydzyna"
"Ryglice","MP","Ryglice"
"Ryki","LUBE","Ryki"
"Rymanow","PODK","Rymanów"
"Ryn","WM","Ryn"
"Rypin","KP","Rypin"
"Rzepin","LUBU","Rzepin"
"Rzeszow","PODK","Rzeszów"
"Rzgow","LD","Rzgów"
"Sanniki","MA","Sanniki"
"Sanok","PODK","Sanok"
"scinawa","DS","Ścinawa"
"Sedziszow Malopolski","PODK","Sędziszów Małopolski"
"Sejny","PODL","Sejny"
"Sepolno Krajenskie","KP","Sępólno Krajeńskie"
"Sepopol","WM","Sępopol"
"Serock","MA","Serock"
"Sianów","ZA","Sianow"
"Siechnice","DS","Siechnice"
"Siedlce","MA","Siedlce"
"Siedliszcze","LUBE","Siedliszcze"
"Siemianowice Slaskie","POM","Siemianowice Śląskie"
"Siemiatycze","PODL","Siemiatycze"
"Sieniawa","PODK","Sieniawa"
"Sieradz","LD","Sieradz"
"Sieraków","WI","Sierakow"
"Sierpc","MA","Sierpc"
"Siewierz","POM","Siewierz"
"Skala","MP","Skała"
"Skarszewy","POM","Skarszewy"
"Skaryszew","MA","Skaryszew"
"Skawina","MP","Skawina"
"Skepe","KP","Skępe"
"Skierniewice","LD","Skierniewice"
"Skoczow","POM","Skoczów"
"Skoki","WI","Skoki"
"Skorcz","POM","Skórcz"
"Skwierzyna","LUBU","Skwierzyna"
"Slawa","LUBU","Sława"
"Slawkow","POM","Sławków"
"Ślesin","WI","Slesin"
"Slomniki","MP","Słomniki"
"Slubice","LUBU","Słubice"
"Slupsk","POM","Słupsk"
"Śmigiel","WI","Smigiel"
"Sochaczew","MA","Sochaczew"
"Sokolka","PODL","Sokółka"
"Sokolow Malopolski","PODK","Sokołów Małopolski"
"Sokolow_Podlaski","MA","Sokołów Podlaski"
"Solec Kujawski","KP","Solec Kujawski"
"Sompolno","WI","Sompolno"
"Sopot","POM","Sopot"
"Sosnicowice","POM","Sośnicowice"
"Sosnowiec","POM","Sosnowiec"
"Śrem","WI","Srem"
"Środa Wielkopolska","WI","Sroda_Wielkopolska"
"sroda_Slaska","DS","Środa Śląska"
"Stalowa Wola","PODK","Stalowa Wola"
"Stargard","ZA","Stargard"
"Starogard_Gdanski","POM","Starogard Gdański"
"Stary Sacz","MP","Stary Sącz"
"Staszow","SW","Staszów"
"Stawiski","PODL","Stawiski"
"Stawiszyn","WI","Stawiszyn"
"Stepnica","ZA","Stepnica"
"Stęszew","WI","Steszew"
"Stoczek_Lukowski","LUBE","Stoczek Łukowski"
"Stopnica","SW","Stopnica"
"Stronie_Slaskie","DS","Stronie Śląskie"
"Strumien","POM","Strumień"
"Strykow","LD","Stryków"
"Strzegom","DS","Strzegom"
"Strzelce_Krajenskie","LUBU","Strzelce Krajeńskie"
"Strzelin","DS","Strzelin"
"Strzelno","KP","Strzelno"
"Strzyzow","PODK","Strzyżów"
"Sucha Beskidzka","MP","Sucha Beskidzka"
"Suchań","ZA","Suchan"
"Suchowola","PODL","Suchowola"
"Sulechow","LUBU","Sulechów"
"Sulecin","LUBU","Sulęcin"
"Sulejow","LD","Sulejów"
"Sulejowek","MA","Sulejówek"
"Sulkowice","MP","Sułkowice"
"Sulmierzyce","WI","Sulmierzyce"
"Suprasl","PODL","Supraśl"
"Suraz","PODL","Suraż"
"Susz","WM","Susz"
"Suwalki","PODL","Suwałki"
"Swarzędz","WI","Swarzedz"
"Swiatniki Gorne","MP","Świątniki Górne"
"swidnica","DS","Świdnica"
"Swidnik","LUBE","Świdnik"
"Świdwin","ZA","Swidwin"
"swiebodzice","DS","Świebodzice"
"Swiebodzin","LUBU","Świebodzin"
"Swiecie","KP","Świecie"
"swieradow-Zdroj","DS","Świeradów-Zdrój"
"swierzawa","DS","Świerzawa"
"Swietochlowice","POM","Świętochłowice"
"Świnoujście","ZA","Swinoujscie"
"Sycow","DS","Syców"
"Szadek","LD","Szadek"
